Orthogroup	Chlorella_Vulgaris2111P	Chlorella_KRBP
OG0000165	KAI3436495.1 hypothetical protein D9Q98_005912 [Chlorella vulgaris], KAI3437708.1 hypothetical protein D9Q98_000156 [Chlorella vulgaris], KAI3436494.1 hypothetical protein D9Q98_005911 [Chlorella vulgaris]	QAXK01004609.1_12369-13533
OG0000175	KAI3438436.1 hypothetical protein D9Q98_000867 [Chlorella vulgaris], KAI3438435.1 hypothetical protein D9Q98_000866 [Chlorella vulgaris], KAI3428453.1 hypothetical protein D9Q98_007280 [Chlorella vulgaris]	QAXK01006319.1_3560-2355
OG0000177	KAI3431472.1 hypothetical protein D9Q98_004524 [Chlorella vulgaris], KAI3428234.1 hypothetical protein D9Q98_006614 [Chlorella vulgaris], KAI3431781.1 hypothetical protein D9Q98_010536 [Chlorella vulgaris]	QAXK01000575.1_15675-16655
OG0000187	KAI3425177.1 hypothetical protein D9Q98_008947 [Chlorella vulgaris], KAI3430447.1 hypothetical protein D9Q98_005042 [Chlorella vulgaris]	QAXK01014854.1_51-3845
OG0000189	KAI3437762.1 hypothetical protein D9Q98_000209 [Chlorella vulgaris], KAI3437764.1 hypothetical protein D9Q98_000211 [Chlorella vulgaris], KAI3437763.1 hypothetical protein D9Q98_000210 [Chlorella vulgaris]	QAXK01000217.1_14674-15859
OG0000192	KAI3434482.1 hypothetical protein D9Q98_002558 [Chlorella vulgaris], KAI3432591.1 hypothetical protein D9Q98_004139 [Chlorella vulgaris], KAI3437619.1 hypothetical protein D9Q98_000071 [Chlorella vulgaris]	QAXK01001504.1_2221-4972
OG0000199	KAI3430489.1 hypothetical protein D9Q98_005084 [Chlorella vulgaris]	QAXK01013035.1_1945-4404
OG0000199	KAI3433775.1 hypothetical protein D9Q98_003581 [Chlorella vulgaris], KAI3433776.1 hypothetical protein D9Q98_003581 [Chlorella vulgaris]	QAXK01010173.1_3319-5256
OG0000201	KAI3436387.1 hypothetical protein D9Q98_005804_ partial [Chlorella vulgaris], KAI3430408.1 hypothetical protein D9Q98_005003 [Chlorella vulgaris]	QAXK01000736.1_9467-8726
OG0000207	KAI3428349.1 hypothetical protein D9Q98_006729 [Chlorella vulgaris]	QAXK01004998.1_5108-4093
OG0000207	KAI3428348.1 hypothetical protein D9Q98_006728 [Chlorella vulgaris]	QAXK01001786.1_12609-11430
OG0000215	KAI3425348.1 hypothetical protein D9Q98_009112 [Chlorella vulgaris], KAI3430567.1 hypothetical protein D9Q98_005160 [Chlorella vulgaris]	QAXK01013809.1_3869-6090
OG0000217	KAI3438921.1 hypothetical protein D9Q98_001335 [Chlorella vulgaris], KAI3429243.1 hypothetical protein D9Q98_005342 [Chlorella vulgaris]	QAXK01003927.1_26651-24094
OG0000222	KAI3426047.1 hypothetical protein D9Q98_008015 [Chlorella vulgaris], KAI3426046.1 hypothetical protein D9Q98_008014 [Chlorella vulgaris]	QAXK01005046.1_1470-3041
OG0000225	KAI3424144.1 hypothetical protein D9Q98_009504 [Chlorella vulgaris], KAI3438673.1 hypothetical protein D9Q98_001094 [Chlorella vulgaris]	QAXK01000132.1_14211-8944
OG0000226	KAI3438233.1 hypothetical protein D9Q98_000670 [Chlorella vulgaris], KAI3433319.1 hypothetical protein D9Q98_003137 [Chlorella vulgaris], KAI3433318.1 hypothetical protein D9Q98_003136 [Chlorella vulgaris]	QAXK01001147.1_264-2985
OG0000234	KAI3429374.1 hypothetical protein D9Q98_005469 [Chlorella vulgaris]	QAXK01001715.1_46567-44103
OG0000243	KAI3432427.1 hypothetical protein D9Q98_003981 [Chlorella vulgaris], KAI3428727.1 hypothetical protein D9Q98_007551 [Chlorella vulgaris]	QAXK01017572.1_4284-1659
OG0000255	KAI3428378.1 hypothetical protein D9Q98_006758 [Chlorella vulgaris], KAI3424770.1 hypothetical protein D9Q98_008158 [Chlorella vulgaris]	QAXK01003493.1_20875-19869
OG0000256	KAI3423807.1 hypothetical protein D9Q98_009644 [Chlorella vulgaris], KAI3429612.1 hypothetical protein D9Q98_005698 [Chlorella vulgaris]	QAXK01000928.1_4721-1230
OG0000260	KAI3425958.1 hypothetical protein D9Q98_007928 [Chlorella vulgaris], KAI3437802.1 hypothetical protein D9Q98_000249 [Chlorella vulgaris]	QAXK01007811.1_6343-7669
OG0000262	KAI3438087.1 hypothetical protein D9Q98_000529 [Chlorella vulgaris], KAI3438086.1 hypothetical protein D9Q98_000528 [Chlorella vulgaris]	QAXK01001305.1_3092-9737
OG0000268	KAI3431366.1 hypothetical protein D9Q98_004423 [Chlorella vulgaris], KAI3439126.1 hypothetical protein D9Q98_001534 [Chlorella vulgaris]	QAXK01007959.1_4344-7510
OG0000269	KAI3434638.1 hypothetical protein D9Q98_002705 [Chlorella vulgaris], KAI3428111.1 hypothetical protein D9Q98_006494 [Chlorella vulgaris]	QAXK01000159.1_2526-4128
OG0000276	KAI3434519.1 hypothetical protein D9Q98_002592 [Chlorella vulgaris], KAI3434403.1 hypothetical protein D9Q98_002481 [Chlorella vulgaris]	QAXK01013106.1_2869-3857
OG0000290	KAI3429433.1 hypothetical protein D9Q98_005527 [Chlorella vulgaris], KAI3429432.1 hypothetical protein D9Q98_005526 [Chlorella vulgaris]	QAXK01007708.1_8045-6769
OG0000293	KAI3437728.1 hypothetical protein D9Q98_000176 [Chlorella vulgaris], KAI3434966.1 hypothetical protein D9Q98_003018 [Chlorella vulgaris], KAI3434802.1 hypothetical protein D9Q98_002859 [Chlorella vulgaris], KAI3434801.1 hypothetical protein D9Q98_002859 [Chlorella vulgaris]	QAXK01000427.1_18710-23853
OG0000297	KAI3438932.1 hypothetical protein D9Q98_001346 [Chlorella vulgaris], KAI3438704.1 hypothetical protein D9Q98_001124 [Chlorella vulgaris]	QAXK01003382.1_7730-10683
OG0000298	KAI3438965.1 hypothetical protein D9Q98_001379 [Chlorella vulgaris], KAI3438967.1 hypothetical protein D9Q98_001381 [Chlorella vulgaris], KAI3438966.1 hypothetical protein D9Q98_001380 [Chlorella vulgaris]	QAXK01006215.1_8306-11634
OG0000299	KAI3433342.1 hypothetical protein D9Q98_003160 [Chlorella vulgaris], KAI3433343.1 hypothetical protein D9Q98_003161 [Chlorella vulgaris]	QAXK01000488.1_8485-5165
OG0000300	KAI3434910.1 hypothetical protein D9Q98_002964 [Chlorella vulgaris], KAI3430247.1 hypothetical protein D9Q98_004843 [Chlorella vulgaris]	QAXK01000495.1_4618-6885
OG0000301	KAI3436698.1 hypothetical protein D9Q98_006113 [Chlorella vulgaris], KAI3435664.1 hypothetical protein D9Q98_001722 [Chlorella vulgaris]	QAXK01005324.1_4296-8149
OG0000302	KAI3430970.1 hypothetical protein D9Q98_009375 [Chlorella vulgaris], KAI3430971.1 hypothetical protein D9Q98_009375 [Chlorella vulgaris], KAI3436727.1 hypothetical protein D9Q98_006142 [Chlorella vulgaris]	QAXK01009146.1_0-3841
OG0000304	KAI3436285.1 hypothetical protein D9Q98_002338 [Chlorella vulgaris], KAI3436286.1 hypothetical protein D9Q98_002339 [Chlorella vulgaris]	QAXK01014492.1_877-182
OG0000315	KAI3431450.1 hypothetical protein D9Q98_004502 [Chlorella vulgaris], KAI3430517.1 hypothetical protein D9Q98_005110 [Chlorella vulgaris]	QAXK01002353.1_19232-23410
OG0000316	KAI3438724.1 hypothetical protein D9Q98_001144 [Chlorella vulgaris], KAI3438723.1 hypothetical protein D9Q98_001143 [Chlorella vulgaris]	QAXK01003905.1_19782-15375
OG0000317	KAI3427210.1 hypothetical protein D9Q98_007145 [Chlorella vulgaris], KAI3425881.1 hypothetical protein D9Q98_007854 [Chlorella vulgaris]	QAXK01008437.1_3645-238
OG0000320	KAI3431427.1 hypothetical protein D9Q98_004480 [Chlorella vulgaris], KAI3429362.1 hypothetical protein D9Q98_005457 [Chlorella vulgaris]	QAXK01008510.1_15994-20405
OG0000321	KAI3425862.1 hypothetical protein D9Q98_007835 [Chlorella vulgaris], KAI3426361.1 hypothetical protein D9Q98_008733 [Chlorella vulgaris]	QAXK01000378.1_25585-26545
OG0000340	KAI3425091.1 hypothetical protein D9Q98_008469 [Chlorella vulgaris], KAI3436547.1 hypothetical protein D9Q98_005963 [Chlorella vulgaris]	QAXK01005276.1_5688-3058
OG0000352	KAI3438986.1 hypothetical protein D9Q98_001399 [Chlorella vulgaris], KAI3425186.1 hypothetical protein D9Q98_008955 [Chlorella vulgaris]	QAXK01000899.1_7462-5804
OG0000353	KAI3438329.1 hypothetical protein D9Q98_000763 [Chlorella vulgaris], KAI3438328.1 hypothetical protein D9Q98_000762 [Chlorella vulgaris]	QAXK01000970.1_11060-12297
