Orthogroup	Chlorella_Vulgaris2111P	Chlorella_KRBP
OG0000747	KAI3429409.1 hypothetical protein D9Q98_005504 [Chlorella vulgaris]	QAXK01006607.1_16309-17535
OG0000753	KAI3439015.1 hypothetical protein D9Q98_001427 [Chlorella vulgaris]	QAXK01001647.1_3154-482
OG0000764	KAI3424734.1 hypothetical protein D9Q98_008123 [Chlorella vulgaris], KAI3424733.1 hypothetical protein D9Q98_008122 [Chlorella vulgaris]	QAXK01005724.1_7661-4858
OG0000770	KAI3431861.1 hypothetical protein D9Q98_010612 [Chlorella vulgaris], KAI3432413.1 hypothetical protein D9Q98_003967 [Chlorella vulgaris]	QAXK01003607.1_11324-13747
OG0000774	KAI3426853.1 hypothetical protein D9Q98_006799 [Chlorella vulgaris], KAI3426852.1 hypothetical protein D9Q98_006798 [Chlorella vulgaris]	QAXK01004825.1_8965-10753
OG0000777	KAI3430997.1 hypothetical protein D9Q98_009399 [Chlorella vulgaris], KAI3430999.1 hypothetical protein D9Q98_009401 [Chlorella vulgaris]	QAXK01002948.1_4354-3157
OG0000778	KAI3436374.1 hypothetical protein D9Q98_002427 [Chlorella vulgaris], KAI3436369.1 hypothetical protein D9Q98_002422 [Chlorella vulgaris]	QAXK01014006.1_1593-3302
OG0000782	KAI3433751.1 hypothetical protein D9Q98_003558 [Chlorella vulgaris], KAI3435567.1 hypothetical protein D9Q98_001632 [Chlorella vulgaris]	QAXK01009651.1_2303-1712
OG0000784	KAI3434975.1 hypothetical protein D9Q98_003027 [Chlorella vulgaris], KAI3434976.1 hypothetical protein D9Q98_003028 [Chlorella vulgaris]	QAXK01014689.1_5406-4708
OG0000786	KAI3435672.1 hypothetical protein D9Q98_001730 [Chlorella vulgaris], KAI3435673.1 hypothetical protein D9Q98_001731 [Chlorella vulgaris], KAI3435671.1 hypothetical protein D9Q98_001729 [Chlorella vulgaris]	QAXK01006828.1_9411-7696
OG0000788	KAI3424297.1 hypothetical protein D9Q98_009852 [Chlorella vulgaris]	QAXK01010339.1_3422-4517
OG0000793	KAI3428305.1 hypothetical protein D9Q98_006684 [Chlorella vulgaris]	QAXK01000249.1_22218-16975
OG0000799	KAI3437551.1 hypothetical protein D9Q98_000004 [Chlorella vulgaris], KAI3428702.1 hypothetical protein D9Q98_007526 [Chlorella vulgaris]	QAXK01005565.1_18254-19052
OG0000818	KAI3434995.1 hypothetical protein D9Q98_003047 [Chlorella vulgaris]	QAXK01008587.1_153-1989
OG0000819	KAI3428384.1 hypothetical protein D9Q98_006764 [Chlorella vulgaris], KAI3428834.1 hypothetical protein D9Q98_007651 [Chlorella vulgaris]	QAXK01003572.1_15443-13865
OG0000827	KAI3428456.1 hypothetical protein D9Q98_007282 [Chlorella vulgaris], KAI3428455.1 hypothetical protein D9Q98_007282 [Chlorella vulgaris]	QAXK01003364.1_14418-18303
OG0000828	KAI3432648.1 hypothetical protein D9Q98_004194 [Chlorella vulgaris]	QAXK01000782.1_20679-19905
OG0000830	KAI3428335.1 hypothetical protein D9Q98_006715 [Chlorella vulgaris], KAI3424978.1 hypothetical protein D9Q98_008359 [Chlorella vulgaris]	QAXK01013271.1_12309-15183
OG0000838	KAI3428546.1 hypothetical protein D9Q98_007368 [Chlorella vulgaris], KAI3428545.1 hypothetical protein D9Q98_007367 [Chlorella vulgaris]	QAXK01003718.1_1305-2104
OG0000856	KAI3432304.1 hypothetical protein D9Q98_003864 [Chlorella vulgaris], KAI3432305.1 hypothetical protein D9Q98_003865 [Chlorella vulgaris]	QAXK01018212.1_1235-2568
OG0000857	KAI3437881.1 hypothetical protein D9Q98_000326 [Chlorella vulgaris], KAI3425018.1 hypothetical protein D9Q98_008400 [Chlorella vulgaris]	QAXK01003829.1_4453-4800
OG0000858	KAI3427253.1 hypothetical protein D9Q98_007187 [Chlorella vulgaris], KAI3427252.1 hypothetical protein D9Q98_007186 [Chlorella vulgaris]	QAXK01000114.1_14115-13091
OG0000882	KAI3424268.1 hypothetical protein D9Q98_009622 [Chlorella vulgaris]	QAXK01006249.1_4939-7634
OG0000890	KAI3437806.1 hypothetical protein D9Q98_000253 [Chlorella vulgaris]	QAXK01001134.1_10091-19430
OG0000898	KAI3434806.1 hypothetical protein D9Q98_002863 [Chlorella vulgaris]	QAXK01003876.1_5991-120
OG0000899	KAI3434561.1 hypothetical protein D9Q98_002634 [Chlorella vulgaris]	QAXK01013989.1_346-4178
OG0000908	KAI3430751.1 hypothetical protein D9Q98_009163 [Chlorella vulgaris]	QAXK01003972.1_3812-4471
OG0000925	KAI3435625.1 hypothetical protein D9Q98_001685 [Chlorella vulgaris]	QAXK01005294.1_1798-325
OG0000926	KAI3430287.1 hypothetical protein D9Q98_004883 [Chlorella vulgaris]	QAXK01006171.1_11343-179
OG0000932	KAI3438578.1 hypothetical protein D9Q98_001003 [Chlorella vulgaris], KAI3438577.1 hypothetical protein D9Q98_001002 [Chlorella vulgaris]	QAXK01003666.1_997-2479
OG0000934	KAI3430676.1 hypothetical protein D9Q98_005265 [Chlorella vulgaris], KAI3430675.1 hypothetical protein D9Q98_005265 [Chlorella vulgaris]	QAXK01002301.1_12772-10269
OG0000936	KAI3437726.1 hypothetical protein D9Q98_000174 [Chlorella vulgaris]	QAXK01016824.1_8642-5783
OG0000942	KAI3433762.1 hypothetical protein D9Q98_003569 [Chlorella vulgaris], KAI3433763.1 hypothetical protein D9Q98_003570 [Chlorella vulgaris]	QAXK01000587.1_67122-65127
OG0000950	KAI3436434.1 hypothetical protein D9Q98_005851 [Chlorella vulgaris]	QAXK01002497.1_4221-184
OG0000953	KAI3435494.1 hypothetical protein D9Q98_001560 [Chlorella vulgaris]	QAXK01003575.1_2283-197
OG0000971	KAI3432753.1 hypothetical protein D9Q98_004294 [Chlorella vulgaris], KAI3425898.1 hypothetical protein D9Q98_007871 [Chlorella vulgaris]	QAXK01002117.1_8261-6549
OG0000972	KAI3431381.1 hypothetical protein D9Q98_004435 [Chlorella vulgaris]	QAXK01000705.1_20067-23668
OG0000974	KAI3431332.1 hypothetical protein D9Q98_004390 [Chlorella vulgaris]	QAXK01004234.1_3012-6646
OG0000975	KAI3430396.1 hypothetical protein D9Q98_004991 [Chlorella vulgaris]	QAXK01000204.1_17480-21863
OG0000993	KAI3425731.1 hypothetical protein D9Q98_007707 [Chlorella vulgaris]	QAXK01000283.1_5726-3204
OG0001052	KAI3436829.1 hypothetical protein D9Q98_006239 [Chlorella vulgaris]	QAXK01004375.1_5952-7899
OG0001054	KAI3434506.1 hypothetical protein D9Q98_002580 [Chlorella vulgaris]	QAXK01011306.1_4473-2613
OG0001058	KAI3432290.1 hypothetical protein D9Q98_003850 [Chlorella vulgaris]	QAXK01006232.1_3779-3289
OG0001060	KAI3424054.1 hypothetical protein D9Q98_009417 [Chlorella vulgaris]	QAXK01001037.1_5070-1976
OG0001061	KAI3431544.1 hypothetical protein D9Q98_004593 [Chlorella vulgaris]	QAXK01005753.1_2076-3799
OG0001062	KAI3423413.1 hypothetical protein D9Q98_010630 [Chlorella vulgaris], KAI3423414.1 hypothetical protein D9Q98_010630 [Chlorella vulgaris]	QAXK01000341.1_1318-5933
OG0001063	KAI3433874.1 hypothetical protein D9Q98_003676 [Chlorella vulgaris], KAI3434527.1 hypothetical protein D9Q98_002600 [Chlorella vulgaris]	QAXK01005942.1_10013-5629
OG0001064	KAI3424073.1 hypothetical protein D9Q98_009436 [Chlorella vulgaris]	QAXK01004812.1_12403-13506
OG0001072	KAI3438527.1 hypothetical protein D9Q98_000955 [Chlorella vulgaris]	QAXK01000429.1_50912-41458
OG0001074	KAI3437883.1 hypothetical protein D9Q98_000328 [Chlorella vulgaris]	QAXK01000217.1_8076-10531
OG0001079	KAI3438596.1 hypothetical protein D9Q98_001020 [Chlorella vulgaris]	QAXK01000446.1_57156-52957
OG0001082	KAI3429525.1 hypothetical protein D9Q98_005613 [Chlorella vulgaris]	QAXK01005854.1_4720-5401
OG0001088	KAI3437797.1 hypothetical protein D9Q98_000244 [Chlorella vulgaris], KAI3437798.1 hypothetical protein D9Q98_000245 [Chlorella vulgaris]	QAXK01002175.1_7346-5749
OG0001094	KAI3438850.1 hypothetical protein D9Q98_001267 [Chlorella vulgaris]	QAXK01001089.1_6956-8023
OG0001095	KAI3437615.1 hypothetical protein D9Q98_000067 [Chlorella vulgaris]	QAXK01000217.1_13973-11099
OG0001096	KAI3429236.1 hypothetical protein D9Q98_005335 [Chlorella vulgaris], KAI3429264.1 hypothetical protein D9Q98_005361 [Chlorella vulgaris]	QAXK01005613.1_12658-11106
OG0001099	KAI3427149.1 hypothetical protein D9Q98_007086 [Chlorella vulgaris], KAI3427150.1 hypothetical protein D9Q98_007087 [Chlorella vulgaris]	QAXK01001823.1_3618-2631
OG0001101	KAI3430397.1 hypothetical protein D9Q98_004992 [Chlorella vulgaris]	QAXK01003836.1_8909-3187
OG0001103	KAI3435778.1 hypothetical protein D9Q98_001836 [Chlorella vulgaris]	QAXK01003163.1_8178-11099
OG0001105	KAI3428790.1 hypothetical protein D9Q98_007609 [Chlorella vulgaris]	QAXK01006902.1_4861-6562
OG0001120	KAI3432892.1 hypothetical protein D9Q98_010474 [Chlorella vulgaris]	QAXK01002607.1_494-808
OG0001122	KAI3438041.1 hypothetical protein D9Q98_000484 [Chlorella vulgaris]	QAXK01010311.1_2932-555
OG0001123	KAI3429454.1 hypothetical protein D9Q98_005547 [Chlorella vulgaris]	QAXK01007750.1_2281-4745
OG0001133	KAI3436543.1 hypothetical protein D9Q98_005959 [Chlorella vulgaris], KAI3423607.1 hypothetical protein D9Q98_010841 _chloroplast_ [Chlorella vulgaris]	QAXK01006196.1_4390-1589
OG0001143	KAI3429586.1 hypothetical protein D9Q98_005672 [Chlorella vulgaris]	QAXK01003700.1_2979-9653
OG0001144	KAI3431543.1 hypothetical protein D9Q98_004592 [Chlorella vulgaris], KAI3431542.1 hypothetical protein D9Q98_004591 [Chlorella vulgaris]	QAXK01003900.1_2413-4929
OG0001154	KAI3433424.1 hypothetical protein D9Q98_003239 [Chlorella vulgaris]	QAXK01011150.1_3959-2216
OG0001156	KAI3431689.1 hypothetical protein D9Q98_004735 [Chlorella vulgaris]	QAXK01018601.1_3296-410
OG0001158	KAI3423845.1 hypothetical protein D9Q98_009681 [Chlorella vulgaris], KAI3423846.1 hypothetical protein D9Q98_009681 [Chlorella vulgaris]	QAXK01006945.1_6596-10279
OG0001161	KAI3437659.1 hypothetical protein D9Q98_000109 [Chlorella vulgaris]	QAXK01004407.1_7887-8977
OG0001166	KAI3433574.1 hypothetical protein D9Q98_003385 [Chlorella vulgaris]	QAXK01009825.1_846-2644
OG0001171	KAI3430232.1 hypothetical protein D9Q98_004829 [Chlorella vulgaris], KAI3430233.1 hypothetical protein D9Q98_004830 [Chlorella vulgaris]	QAXK01006983.1_10356-12388
OG0001176	KAI3434880.1 hypothetical protein D9Q98_002934 [Chlorella vulgaris]	QAXK01004323.1_8147-5874
OG0001180	KAI3430836.1 hypothetical protein D9Q98_009247 [Chlorella vulgaris]	QAXK01019295.1_3574-2070
OG0001194	KAI3438056.1 hypothetical protein D9Q98_000499 [Chlorella vulgaris]	QAXK01001649.1_8862-4505
OG0001201	KAI3427431.1 hypothetical protein D9Q98_010346 [Chlorella vulgaris]	QAXK01000596.1_10252-6748
OG0001208	KAI3428069.1 hypothetical protein D9Q98_006453 [Chlorella vulgaris]	QAXK01012769.1_10100-9091
OG0001212	KAI3427115.1 hypothetical protein D9Q98_007052 [Chlorella vulgaris]	QAXK01005236.1_15612-13478
OG0001214	KAI3435881.1 hypothetical protein D9Q98_001939 [Chlorella vulgaris], KAI3427166.1 hypothetical protein D9Q98_007103 [Chlorella vulgaris]	QAXK01012739.1_10679-8642
OG0001216	KAI3432274.1 hypothetical protein D9Q98_003834 [Chlorella vulgaris]	QAXK01001490.1_17280-15927
OG0001219	KAI3434568.1 hypothetical protein D9Q98_002640 [Chlorella vulgaris], KAI3434487.1 hypothetical protein D9Q98_002563 [Chlorella vulgaris], KAI3434569.1 hypothetical protein D9Q98_002641 [Chlorella vulgaris]	QAXK01008035.1_3747-6912
OG0001221	KAI3436879.1 hypothetical protein D9Q98_006287 [Chlorella vulgaris], KAI3436878.1 hypothetical protein D9Q98_006286 [Chlorella vulgaris]	QAXK01001061.1_17190-18239
OG0001223	KAI3425740.1 hypothetical protein D9Q98_007716 [Chlorella vulgaris]	QAXK01005846.1_3896-588
OG0001225	KAI3434773.1 hypothetical protein D9Q98_002833 [Chlorella vulgaris]	QAXK01000732.1_2978-2655
OG0001229	KAI3425781.1 hypothetical protein D9Q98_007756 [Chlorella vulgaris], KAI3425779.1 hypothetical protein D9Q98_007754 [Chlorella vulgaris]	QAXK01016063.1_5569-3270
OG0001231	KAI3428669.1 hypothetical protein D9Q98_007492 [Chlorella vulgaris]	QAXK01000362.1_21408-20438
OG0001236	KAI3434485.1 hypothetical protein D9Q98_002561 [Chlorella vulgaris]	QAXK01000513.1_15183-11736
OG0001242	KAI3433796.1 hypothetical protein D9Q98_003601 [Chlorella vulgaris], KAI3433797.1 hypothetical protein D9Q98_003601 [Chlorella vulgaris]	QAXK01004645.1_1487-5075
OG0001246	KAI3424876.1 hypothetical protein D9Q98_008260 [Chlorella vulgaris]	QAXK01010639.1_8900-15142
OG0001248	KAI3426037.1 hypothetical protein D9Q98_008005 [Chlorella vulgaris]	QAXK01010718.1_75-1989
OG0001264	KAI3438099.1 hypothetical protein D9Q98_000541 [Chlorella vulgaris]	QAXK01001653.1_329-2259
OG0001279	KAI3434829.1 hypothetical protein D9Q98_002884 [Chlorella vulgaris], KAI3434828.1 hypothetical protein D9Q98_002883 [Chlorella vulgaris]	QAXK01000624.1_32528-30577
OG0001307	KAI3434652.1 hypothetical protein D9Q98_002717 [Chlorella vulgaris]	QAXK01005917.1_319-7230
OG0001308	KAI3423011.1 hypothetical protein D9Q98_010854_ partial _mitochondrion_ [Chlorella vulgaris], KAI3438185.1 hypothetical protein D9Q98_000622 [Chlorella vulgaris]	QAXK01006084.1_8922-13556
OG0001309	KAI3438168.1 hypothetical protein D9Q98_000605 [Chlorella vulgaris]	QAXK01004533.1_5070-10667
OG0001310	KAI3434650.1 hypothetical protein D9Q98_002715 [Chlorella vulgaris]	QAXK01002895.1_5020-6663
OG0001311	KAI3438156.1 hypothetical protein D9Q98_000594 [Chlorella vulgaris], KAI3438155.1 hypothetical protein D9Q98_000593 [Chlorella vulgaris]	QAXK01001613.1_2521-6885
OG0001312	KAI3434531.1 hypothetical protein D9Q98_002604 [Chlorella vulgaris]	QAXK01003510.1_1900-3653
OG0001313	KAI3438187.1 hypothetical protein D9Q98_000624 [Chlorella vulgaris]	QAXK01001184.1_9548-5781
OG0001314	KAI3438195.1 hypothetical protein D9Q98_000632 [Chlorella vulgaris]	QAXK01001944.1_3765-1753
OG0001316	KAI3424219.1 hypothetical protein D9Q98_009575 [Chlorella vulgaris]	QAXK01006921.1_16832-14836
OG0001317	KAI3431509.1 hypothetical protein D9Q98_004559 [Chlorella vulgaris]	QAXK01010058.1_4279-1636
OG0001318	KAI3426357.1 hypothetical protein D9Q98_008729 [Chlorella vulgaris]	QAXK01001801.1_7866-9916
OG0001320	KAI3424068.1 hypothetical protein D9Q98_009431 [Chlorella vulgaris]	QAXK01000167.1_14384-11911
OG0001328	KAI3430580.1 hypothetical protein D9Q98_005173 [Chlorella vulgaris]	QAXK01006882.1_17133-19836
OG0001331	KAI3427029.1 hypothetical protein D9Q98_006971 [Chlorella vulgaris]	QAXK01009171.1_15170-12352
OG0001332	KAI3438561.1 hypothetical protein D9Q98_000988 [Chlorella vulgaris]	QAXK01004338.1_10706-15436
OG0001334	KAI3436237.1 hypothetical protein D9Q98_002291 [Chlorella vulgaris]	QAXK01003133.1_258-4577
OG0001338	KAI3426985.1 hypothetical protein D9Q98_006929 [Chlorella vulgaris], KAI3426988.1 hypothetical protein D9Q98_006932 [Chlorella vulgaris]	QAXK01002293.1_4021-8056
OG0001340	KAI3430881.1 hypothetical protein D9Q98_009289 [Chlorella vulgaris]	QAXK01004523.1_6228-4685
OG0001342	KAI3434797.1 hypothetical protein D9Q98_002855 [Chlorella vulgaris]	QAXK01003268.1_11937-16935
OG0001343	KAI3438820.1 hypothetical protein D9Q98_001237 [Chlorella vulgaris]	QAXK01000799.1_6873-2057
OG0001353	KAI3425070.1 hypothetical protein D9Q98_008447 [Chlorella vulgaris]	QAXK01011632.1_4873-7912
OG0001356	KAI3429818.1 hypothetical protein D9Q98_010131 [Chlorella vulgaris]	QAXK01003307.1_27135-26267
OG0001360	KAI3438702.1 hypothetical protein D9Q98_001122 [Chlorella vulgaris]	QAXK01001741.1_6153-8648
OG0001363	KAI3434662.1 hypothetical protein D9Q98_002726 [Chlorella vulgaris]	QAXK01003747.1_13973-10331
OG0001365	KAI3437969.1 hypothetical protein D9Q98_000413 [Chlorella vulgaris]	QAXK01000515.1_20837-25236
OG0001366	KAI3436652.1 hypothetical protein D9Q98_006068 [Chlorella vulgaris]	QAXK01004846.1_20461-19235
OG0001370	KAI3432608.1 hypothetical protein D9Q98_004155 [Chlorella vulgaris]	QAXK01000381.1_4423-6771
OG0001374	KAI3432597.1 hypothetical protein D9Q98_004145 [Chlorella vulgaris]	QAXK01013224.1_5335-6988
OG0001375	KAI3438022.1 hypothetical protein D9Q98_000465 [Chlorella vulgaris], KAI3438021.1 hypothetical protein D9Q98_000464 [Chlorella vulgaris]	QAXK01005120.1_8361-10056
OG0001376	KAI3429414.1 hypothetical protein D9Q98_005509 [Chlorella vulgaris]	QAXK01019935.1_413-1820
OG0001381	KAI3432886.1 hypothetical protein D9Q98_010468 [Chlorella vulgaris]	QAXK01000172.1_6135-2748
OG0001382	KAI3432584.1 hypothetical protein D9Q98_004133 [Chlorella vulgaris]	QAXK01001066.1_8917-1138
OG0001383	KAI3432568.1 hypothetical protein D9Q98_004117 [Chlorella vulgaris]	QAXK01003326.1_3639-1243
OG0001385	KAI3432870.1 hypothetical protein D9Q98_010453 [Chlorella vulgaris]	QAXK01005279.1_10173-5871
OG0001388	KAI3431711.1 hypothetical protein D9Q98_004756 [Chlorella vulgaris]	QAXK01001208.1_10635-13964
OG0001393	KAI3425085.1 hypothetical protein D9Q98_008463 [Chlorella vulgaris]	QAXK01005917.1_17047-13738
OG0001397	KAI3435657.1 hypothetical protein D9Q98_001715 [Chlorella vulgaris]	QAXK01000502.1_39339-43298
OG0001398	KAI3438385.1 hypothetical protein D9Q98_000817 [Chlorella vulgaris]	QAXK01003277.1_3770-8
OG0001400	KAI3438974.1 hypothetical protein D9Q98_001388 [Chlorella vulgaris]	QAXK01001993.1_28544-29840
OG0001401	KAI3426924.1 hypothetical protein D9Q98_006868 [Chlorella vulgaris]	QAXK01010276.1_2943-1867
OG0001406	KAI3436461.1 hypothetical protein D9Q98_005878 [Chlorella vulgaris]	QAXK01000595.1_2983-1676
OG0001408	KAI3430740.1 hypothetical protein D9Q98_009153 [Chlorella vulgaris], KAI3430741.1 hypothetical protein D9Q98_009153 [Chlorella vulgaris]	QAXK01000367.1_8675-18356
OG0001409	KAI3435686.1 hypothetical protein D9Q98_001744 [Chlorella vulgaris]	QAXK01004930.1_4250-5628
OG0001417	KAI3426441.1 hypothetical protein D9Q98_008809 [Chlorella vulgaris]	QAXK01005381.1_315-2273
OG0001420	KAI3429618.1 hypothetical protein D9Q98_005704 [Chlorella vulgaris]	QAXK01000297.1_21777-22493
OG0001424	KAI3426437.1 hypothetical protein D9Q98_008805 [Chlorella vulgaris]	QAXK01001628.1_9434-11057
OG0001425	KAI3426121.1 hypothetical protein D9Q98_008500 [Chlorella vulgaris], KAI3426122.1 hypothetical protein D9Q98_008500 [Chlorella vulgaris]	QAXK01003581.1_2363-4183
OG0001426	KAI3432839.1 hypothetical protein D9Q98_010423 [Chlorella vulgaris]	QAXK01005880.1_1-9276
OG0001428	KAI3436182.1 hypothetical protein D9Q98_002237 [Chlorella vulgaris]	QAXK01000837.1_14096-17956
OG0001431	KAI3426206.1 hypothetical protein D9Q98_008583 [Chlorella vulgaris]	QAXK01013424.1_6153-1945
OG0001432	KAI3430669.1 hypothetical protein D9Q98_005261 [Chlorella vulgaris], KAI3430670.1 hypothetical protein D9Q98_005261 [Chlorella vulgaris]	QAXK01000224.1_16848-15439
OG0001445	KAI3431856.1 hypothetical protein D9Q98_010608 [Chlorella vulgaris]	QAXK01000732.1_11950-7418
OG0001455	KAI3434915.1 hypothetical protein D9Q98_002969 [Chlorella vulgaris]	QAXK01001576.1_5934-8651
OG0001456	KAI3425337.1 hypothetical protein D9Q98_009101 [Chlorella vulgaris]	QAXK01006785.1_1906-1226
OG0001460	KAI3434922.1 hypothetical protein D9Q98_002976 [Chlorella vulgaris]	QAXK01015424.1_3358-1233
OG0001462	KAI3434974.1 hypothetical protein D9Q98_003026 [Chlorella vulgaris]	QAXK01002112.1_6014-14709
OG0001465	KAI3426943.1 hypothetical protein D9Q98_006887 [Chlorella vulgaris]	QAXK01006322.1_7890-11183
OG0001469	KAI3428792.1 hypothetical protein D9Q98_007611 [Chlorella vulgaris]	QAXK01007783.1_10721-12010
OG0001473	KAI3432455.1 hypothetical protein D9Q98_004005 [Chlorella vulgaris]	QAXK01003650.1_4575-2929
OG0001476	KAI3423947.1 hypothetical protein D9Q98_009781 [Chlorella vulgaris]	QAXK01001134.1_7136-9582
OG0001477	KAI3428522.1 hypothetical protein D9Q98_007345 [Chlorella vulgaris], KAI3434741.1 hypothetical protein D9Q98_002801 [Chlorella vulgaris]	QAXK01003160.1_17527-15091
OG0001480	KAI3423943.1 hypothetical protein D9Q98_009777 [Chlorella vulgaris]	QAXK01000632.1_24086-22557
OG0001482	KAI3438090.1 hypothetical protein D9Q98_000532 [Chlorella vulgaris]	QAXK01000159.1_14204-11398
OG0001488	KAI3432474.1 hypothetical protein D9Q98_004023 [Chlorella vulgaris]	QAXK01004286.1_7784-2904
OG0001492	KAI3438202.1 hypothetical protein D9Q98_000639 [Chlorella vulgaris]	QAXK01003809.1_2040-4733
OG0001493	KAI3434460.1 hypothetical protein D9Q98_002537 [Chlorella vulgaris]	QAXK01001201.1_5367-10319
OG0001503	KAI3430553.1 hypothetical protein D9Q98_005146 [Chlorella vulgaris], KAI3430552.1 hypothetical protein D9Q98_005145 [Chlorella vulgaris]	QAXK01001163.1_27767-28960
OG0001506	KAI3437627.1 hypothetical protein D9Q98_000079 [Chlorella vulgaris]	QAXK01000137.1_3425-4331
OG0001508	KAI3437781.1 hypothetical protein D9Q98_000228 [Chlorella vulgaris]	QAXK01001982.1_904-3015
OG0001514	KAI3423187.1 hypothetical protein D9Q98_010723 [Chlorella vulgaris], KAI3431380.1 hypothetical protein D9Q98_004434 [Chlorella vulgaris]	QAXK01003231.1_16625-14068
OG0001526	KAI3425845.1 hypothetical protein D9Q98_007819 [Chlorella vulgaris]	QAXK01019948.1_5388-2969
OG0001527	KAI3432834.1 hypothetical protein D9Q98_010418 [Chlorella vulgaris], KAI3432827.1 hypothetical protein D9Q98_010411 [Chlorella vulgaris]	QAXK01013863.1_4654-1867
OG0001528	KAI3428115.1 hypothetical protein D9Q98_006498 [Chlorella vulgaris]	QAXK01000325.1_37384-41123
OG0001529	KAI3432378.1 hypothetical protein D9Q98_003935 [Chlorella vulgaris]	QAXK01004092.1_4427-5291
OG0001532	KAI3433614.1 hypothetical protein D9Q98_003423 [Chlorella vulgaris]	QAXK01000782.1_11007-12134
OG0001533	KAI3432859.1 hypothetical protein D9Q98_010442 [Chlorella vulgaris]	QAXK01000265.1_17007-12444
OG0001534	KAI3425060.1 hypothetical protein D9Q98_008437 [Chlorella vulgaris]	QAXK01000695.1_5671-2183
OG0001538	KAI3428534.1 hypothetical protein D9Q98_007357 [Chlorella vulgaris]	QAXK01009353.1_4260-348
OG0001542	KAI3427167.1 hypothetical protein D9Q98_007104 [Chlorella vulgaris]	QAXK01011884.1_2510-4036
OG0001544	KAI3436160.1 hypothetical protein D9Q98_002217 [Chlorella vulgaris]	QAXK01002332.1_5291-4007
OG0001545	KAI3428237.1 hypothetical protein D9Q98_006617 [Chlorella vulgaris]	QAXK01000350.1_22889-27018
OG0001546	KAI3436054.1 hypothetical protein D9Q98_002113 [Chlorella vulgaris]	QAXK01011857.1_1226-3209
OG0001548	KAI3429832.1 hypothetical protein D9Q98_010145 [Chlorella vulgaris], KAI3429831.1 hypothetical protein D9Q98_010144 [Chlorella vulgaris]	QAXK01001795.1_1688-3314
OG0001549	KAI3434514.1 hypothetical protein D9Q98_002587 [Chlorella vulgaris]	QAXK01005406.1_4717-2509
OG0001550	KAI3429835.1 hypothetical protein D9Q98_010148 [Chlorella vulgaris]	QAXK01004537.1_7009-1449
OG0001551	KAI3427042.1 hypothetical protein D9Q98_006983 [Chlorella vulgaris]	QAXK01006072.1_19473-19787
OG0001554	KAI3435925.1 hypothetical protein D9Q98_001983 [Chlorella vulgaris]	QAXK01001638.1_7681-11612
OG0001561	KAI3425803.1 hypothetical protein D9Q98_007778 [Chlorella vulgaris]	QAXK01003228.1_3995-6597
OG0001562	KAI3435911.1 hypothetical protein D9Q98_001969 [Chlorella vulgaris]	QAXK01000869.1_5647-9196
OG0001571	KAI3425840.1 hypothetical protein D9Q98_007814 [Chlorella vulgaris]	QAXK01005898.1_15715-20620
OG0001573	KAI3437591.1 hypothetical protein D9Q98_000044 [Chlorella vulgaris]	QAXK01001714.1_23807-22483
OG0001575	KAI3438666.1 hypothetical protein D9Q98_001087 [Chlorella vulgaris]	QAXK01006456.1_5116-6698
OG0001576	KAI3432440.1 hypothetical protein D9Q98_003993 [Chlorella vulgaris]	QAXK01003511.1_8584-2188
OG0001579	KAI3429359.1 hypothetical protein D9Q98_005454 [Chlorella vulgaris]	QAXK01000149.1_3007-205
OG0001581	KAI3432649.1 hypothetical protein D9Q98_004195 [Chlorella vulgaris]	QAXK01003468.1_8146-4525
OG0001582	KAI3433686.1 hypothetical protein D9Q98_003495 [Chlorella vulgaris]	QAXK01003110.1_3669-4960
OG0001592	KAI3433791.1 hypothetical protein D9Q98_003596 [Chlorella vulgaris]	QAXK01004995.1_4321-153
OG0001595	KAI3439125.1 hypothetical protein D9Q98_001533 [Chlorella vulgaris]	QAXK01003821.1_4511-8191
OG0001599	KAI3424720.1 hypothetical protein D9Q98_008109 [Chlorella vulgaris]	QAXK01001163.1_31234-32344
OG0001602	KAI3435536.1 hypothetical protein D9Q98_001601 [Chlorella vulgaris]	QAXK01009112.1_2932-1649
OG0001606	KAI3425944.1 hypothetical protein D9Q98_007914 [Chlorella vulgaris]	QAXK01001551.1_37852-43451
OG0001618	KAI3438391.1 hypothetical protein D9Q98_000823 [Chlorella vulgaris]	QAXK01003579.1_4454-5700
OG0001620	KAI3436668.1 hypothetical protein D9Q98_006084 [Chlorella vulgaris]	QAXK01004906.1_4885-7564
OG0001624	KAI3438597.1 hypothetical protein D9Q98_001021 [Chlorella vulgaris], KAI3438598.1 hypothetical protein D9Q98_001021 [Chlorella vulgaris]	QAXK01001935.1_7191-6190
OG0001625	KAI3430273.1 hypothetical protein D9Q98_004869 [Chlorella vulgaris]	QAXK01008598.1_11627-10467
OG0001666	KAI3438184.1 hypothetical protein D9Q98_000621 [Chlorella vulgaris]	QAXK01000648.1_7716-3949
OG0001670	KAI3434577.1 hypothetical protein D9Q98_002647 [Chlorella vulgaris]	QAXK01001801.1_20671-18627
OG0001676	KAI3424477.1 hypothetical protein D9Q98_010027 [Chlorella vulgaris]	QAXK01000084.1_15952-9180
OG0001677	KAI3436185.1 hypothetical protein D9Q98_002240 [Chlorella vulgaris]	QAXK01006154.1_7199-4782
OG0001679	KAI3424056.1 hypothetical protein D9Q98_009419 [Chlorella vulgaris]	QAXK01005586.1_4660-3715
