	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
'8	0.0	0.5	0.0	0.5	1.2	0.6	0.6	0.5	1.0	0.7
'9	0.0	0.3	0.0	0.4	0.7	0.8	0.9	0.3	0.6	0.5
'10	0.0	0.6	0.0	0.1	0.5	0.3	0.2	0.2	0.3	0.0
11-15	0.0	0.4	0.0	1.1	0.8	1.4	1.0	0.8	1.8	1.1
16-20	0.0	0.0	0.0	0.4	1.3	0.7	1.3	0.5	1.0	0.0
21-50	1.4	0.0	0.0	0.7	1.4	2.2	0.9	0.2	1.1	0.7
51-100	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.5	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
